date,ts_code,close_p
2014-02-26,000300.SH,2163.405
2014-02-27,399005.SZ,4941.468
2014-02-27,399006.SZ,1414.657
2014-02-27,000001.SH,2047.354
2014-02-27,399001.SZ,7188.744
2014-02-27,000905.SH,3934.727
2014-02-27,000300.SH,2154.108
2014-02-27,399016.SZ,1692.151
2014-02-28,399005.SZ,5029.196
2014-02-28,399001.SZ,7365.925
2014-02-28,000905.SH,3975.929
2014-02-28,000300.SH,2178.971
2014-02-28,000001.SH,2056.302
2014-02-28,399006.SZ,1434.894
2014-02-28,399016.SZ,1713.6363
2014-03-03,399005.SZ,5098.202
2014-03-03,399001.SZ,7391.908
2014-03-03,000300.SH,2190.37
2014-03-03,399006.SZ,1465.139
2014-03-03,000905.SH,4058.799
2014-03-03,399016.SZ,1747.4832
2014-03-03,000001.SH,2075.235
2014-03-04,399006.SZ,1460.452
2014-03-04,399005.SZ,5049.987
2014-03-04,000001.SH,2071.473
2014-03-04,399001.SZ,7347.109
2014-03-04,399016.SZ,1733.396
2014-03-04,000300.SH,2184.273
2014-03-04,000905.SH,4059.567
2014-03-05,399001.SZ,7298.13
2014-03-05,399006.SZ,1464.578
2014-03-05,000001.SH,2053.084
2014-03-05,000905.SH,4037.784
2014-03-05,000300.SH,2163.976
2014-03-05,399005.SZ,5044.415
2014-03-05,399016.SZ,1736.8249
2014-03-06,000001.SH,2059.578
2014-03-06,399005.SZ,5021.316
2014-03-06,399016.SZ,1734.394
2014-03-06,000905.SH,4032.756
2014-03-06,000300.SH,2173.634
2014-03-06,399001.SZ,7352.029
2014-03-06,399006.SZ,1462.528
2014-03-07,399016.SZ,1725.0113
2014-03-07,399006.SZ,1460.611
2014-03-07,399005.SZ,4995.105
2014-03-07,000001.SH,2057.908
2014-03-07,000905.SH,4012.447
2014-03-07,399001.SZ,7328.483
2014-03-07,000300.SH,2168.358
2014-03-10,000300.SH,2097.787
2014-03-10,399001.SZ,7118.444
2014-03-10,399006.SZ,1407.073
2014-03-10,399005.SZ,4818.26
2014-03-10,000001.SH,1999.065
2014-03-10,000905.SH,3860.244
2014-03-10,399016.SZ,1670.2016
2014-03-11,000300.SH,2108.661
2014-03-11,000001.SH,2001.157
2014-03-11,399005.SZ,4813.807
2014-03-11,399001.SZ,7212.574
2014-03-11,399016.SZ,1662.4857
2014-03-11,000905.SH,3864.26
2014-03-11,399006.SZ,1395.813
2014-03-12,000001.SH,1997.692
2014-03-12,399005.SZ,4792.523
2014-03-12,000905.SH,3865.662
2014-03-12,000300.SH,2114.134
2014-03-12,399001.SZ,7217.02
2014-03-12,399016.SZ,1652.1758
2014-03-12,399006.SZ,1399.266
2014-03-13,399006.SZ,1436.856
2014-03-13,000300.SH,2140.333
2014-03-13,399001.SZ,7319.287
2014-03-13,399016.SZ,1684.7006
2014-03-13,000001.SH,2019.111
2014-03-13,000905.SH,3907.146
2014-03-13,399005.SZ,4863.887
2014-03-14,000300.SH,2122.836
2014-03-14,399001.SZ,7239.062
2014-03-14,000001.SH,2004.339
2014-03-14,399006.SZ,1434.021
2014-03-14,399016.SZ,1682.8828
2014-03-14,399005.SZ,4834.753
2014-03-14,000905.SH,3888.975
2014-03-17,000300.SH,2143.038
2014-03-17,000905.SH,3967.15
2014-03-17,399001.SZ,7340.623
2014-03-17,399005.SZ,4919.845
2014-03-17,399006.SZ,1477.415
2014-03-17,399016.SZ,1728.2076
2014-03-17,000001.SH,2023.673
2014-03-18,399005.SZ,4932.344
2014-03-18,000905.SH,3989.201
2014-03-18,000001.SH,2025.196
2014-03-18,399006.SZ,1485.64
2014-03-18,399016.SZ,1729.241
2014-03-18,399001.SZ,7273.95
2014-03-18,000300.SH,2138.133
2014-03-19,399005.SZ,4859.599
2014-03-19,399001.SZ,7150.116
2014-03-19,000300.SH,2120.87
2014-03-19,000001.SH,2021.734
2014-03-19,399006.SZ,1466.217
2014-03-19,399016.SZ,1716.7996
2014-03-19,000905.SH,3980.673
2014-03-20,000300.SH,2086.967
2014-03-20,399005.SZ,4708.723
2014-03-20,000905.SH,3876.578
2014-03-20,000001.SH,1993.479
2014-03-20,399016.SZ,1662.6732
2014-03-20,399006.SZ,1417.658
2014-03-20,399001.SZ,6998.194
2014-03-21,000001.SH,2047.619
2014-03-21,399006.SZ,1419.84
2014-03-21,399001.SZ,7241.568
2014-03-21,000905.SH,3952.392
2014-03-21,399005.SZ,4801.261
2014-03-21,000300.SH,2158.798
2014-03-21,399016.SZ,1678.1286
2014-03-24,399006.SZ,1397.294
2014-03-24,000300.SH,2176.554
2014-03-24,399005.SZ,4786.353
2014-03-24,399001.SZ,7273.757
2014-03-24,000905.SH,3985.861
2014-03-24,399016.SZ,1665.3848
2014-03-24,000001.SH,2066.279
2014-03-25,000300.SH,2174.44
2014-03-25,399016.SZ,1662.1837
2014-03-25,000905.SH,3991.144
2014-03-25,399005.SZ,4779.607
2014-03-25,000001.SH,2067.311
2014-03-25,399006.SZ,1394.824
2014-03-25,399001.SZ,7252.349
2014-03-26,399006.SZ,1417.614
2014-03-26,000001.SH,2063.67
2014-03-26,000905.SH,4001.502
2014-03-26,000300.SH,2171.047
2014-03-26,399005.SZ,4810.629
2014-03-26,399016.SZ,1680.0702
2014-03-26,399001.SZ,7244.194
2014-03-27,399016.SZ,1633.374
2014-03-27,399006.SZ,1367.964
2014-03-27,000905.SH,3944.044
2014-03-27,000001.SH,2046.588
2014-03-27,399001.SZ,7173.024
2014-03-27,000300.SH,2155.707
2014-03-27,399005.SZ,4713.444
2014-03-28,399006.SZ,1330.5
2014-03-28,000001.SH,2041.712
2014-03-28,399016.SZ,1588.1888
2014-03-28,399005.SZ,4610.323
2014-03-28,000905.SH,3865.295
2014-03-28,000300.SH,2151.965
2014-03-28,399001.SZ,7165.57
2014-03-31,399016.SZ,1583.5613
2014-03-31,000001.SH,2033.306
2014-03-31,399001.SZ,7189.578
2014-03-31,399005.SZ,4595.016
2014-03-31,000905.SH,3840.536
2014-03-31,399006.SZ,1327.8
2014-03-31,000300.SH,2146.305
2014-04-01,000001.SH,2047.46
2014-04-01,399016.SZ,1618.4592
2014-04-01,399001.SZ,7281.109
2014-04-01,000905.SH,3899.488
2014-04-01,399006.SZ,1355.051
2014-04-01,399005.SZ,4678.19
2014-04-01,000300.SH,2163.115
2014-04-02,399005.SZ,4684.207
2014-04-02,399006.SZ,1327.983
2014-04-02,000300.SH,2180.727
2014-04-02,399001.SZ,7333.587
2014-04-02,399016.SZ,1607.1206
2014-04-02,000001.SH,2058.988
2014-04-02,000905.SH,3902.043
2014-04-03,399006.SZ,1326.1764
2014-04-03,000001.SH,2043.702
2014-04-03,399001.SZ,7298.0023
2014-04-03,399016.SZ,1608.8328
2014-04-03,000300.SH,2165.008
2014-04-03,000905.SH,3896.28
2014-04-03,399005.SZ,4701.6899
2014-04-04,399006.SZ,1346.738
2014-04-04,000300.SH,2185.472
2014-04-04,399001.SZ,7367.801
2014-04-04,000001.SH,2058.831
2014-04-04,000905.SH,3939.229
2014-04-04,399005.SZ,4761.042
2014-04-04,399016.SZ,1629.9595
2014-04-08,399016.SZ,1642.4386
2014-04-08,399006.SZ,1351.183
2014-04-08,000905.SH,3981.625
2014-04-08,000001.SH,2098.284
2014-04-08,399005.SZ,4809.482
2014-04-08,000300.SH,2237.316
2014-04-08,399001.SZ,7508.657
2014-04-09,399005.SZ,4844.382
2014-04-09,399006.SZ,1370.462
2014-04-09,000001.SH,2105.237
2014-04-09,399001.SZ,7511.253
2014-04-09,399016.SZ,1663.2669
2014-04-09,000300.SH,2238.62
2014-04-09,000905.SH,4018.547
2014-04-10,399016.SZ,1671.0749
2014-04-10,399005.SZ,4861.79
2014-04-10,000905.SH,4038.84
2014-04-10,000300.SH,2273.761
2014-04-10,399001.SZ,7563.202
2014-04-10,399006.SZ,1381.142
2014-04-10,000001.SH,2134.3
2014-04-11,000905.SH,4021.194
2014-04-11,399006.SZ,1363.899
2014-04-11,000300.SH,2270.666
2014-04-11,000001.SH,2130.542
2014-04-11,399016.SZ,1655.5876
2014-04-11,399001.SZ,7586.825
2014-04-11,399005.SZ,4830.511
2014-04-14,000905.SH,4051.33
2014-04-14,000001.SH,2131.539
2014-04-14,399001.SZ,7583.282
2014-04-14,399016.SZ,1667.2993
2014-04-14,000300.SH,2268.613
2014-04-14,399005.SZ,4854.643
2014-04-14,399006.SZ,1372.728
2014-04-15,399006.SZ,1369.889
2014-04-15,399016.SZ,1658.5348
2014-04-15,000905.SH,4021.906
2014-04-15,000300.SH,2229.463
2014-04-15,399005.SZ,4804.718
2014-04-15,000001.SH,2101.601
2014-04-15,399001.SZ,7449.705
2014-04-16,399001.SZ,7468.464
2014-04-16,399006.SZ,1359.304
2014-04-16,399005.SZ,4799.907
2014-04-16,000001.SH,2105.122
2014-04-16,000905.SH,4019.883
2014-04-16,000300.SH,2232.526
2014-04-16,399016.SZ,1655.021
2014-04-17,000905.SH,4014.94
2014-04-17,000001.SH,2098.885
2014-04-17,399016.SZ,1662.5016
2014-04-17,399001.SZ,7451.038
2014-04-17,399005.SZ,4817.315
2014-04-17,000300.SH,2224.803
2014-04-17,399006.SZ,1367.591
2014-04-18,000001.SH,2097.748
2014-04-18,399005.SZ,4824.031
2014-04-18,000300.SH,2224.479
2014-04-18,000905.SH,4029.262
2014-04-18,399006.SZ,1377.419
2014-04-18,399001.SZ,7455.738
2014-04-18,399016.SZ,1672.103
2014-04-21,399016.SZ,1656.1971
2014-04-21,000300.SH,2187.248
2014-04-21,399006.SZ,1363.851
2014-04-21,000905.SH,3965.337
2014-04-21,399005.SZ,4752.892
2014-04-21,000001.SH,2065.826
2014-04-21,399001.SZ,7353.602
2014-04-22,000300.SH,2196.795
2014-04-22,399005.SZ,4726.444
2014-04-22,000001.SH,2072.831
2014-04-22,399006.SZ,1336.187
2014-04-22,000905.SH,3947.169
2014-04-22,399016.SZ,1632.0993
2014-04-22,399001.SZ,7391.217
2014-04-23,000300.SH,2194.668
2014-04-23,000001.SH,2067.382
